10	foundation	Foundation	on
20	terminal	Terminal & shell	on
30	cli	CLI utilities	on
40	development	Development tools	on
50	languages	Languages & runtimes	on
60	editors	Editors & IDEs	on
70	containers	Containers	on
80	communication	Browsers & communication	on
90	productivity	Productivity, security & sync	on
100	media-tooling	Media tooling	on
110	creative	Creative & media apps	on
120	desktop	Desktop utilities	on
130	ai	AI tools	on
135	ai-skills	AI skills	on
140	mobile	Mobile development	on
150	cad	CAD & 3D printing	on
160	gaming	Gaming & streaming	on
